chromagram,rms,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,label
0.35008812,0.13022792,1784.1658495387549,2002.4490601176958,3805.8396058403423,0.08304482066898686,-113.57065,121.57179,-19.168142,42.36642,-6.364664,18.623499,-13.704891,15.34315,-12.27411,10.976572,-8.326573,8.803792,-3.6723,5.747995,-5.162882,0.7527399,-1.6902149,-0.40897894,-2.3035226,1.2212902,blues
0.34091356,0.09594781,1530.1766787460795,2039.0365160924302,3550.5220984084976,0.05603980870552978,-207.5017,123.991264,8.955127,35.877647,2.9073198,21.510468,-8.560436,23.370686,-10.099661,11.900497,-5.555639,5.3763275,-2.23176,4.22014,-6.0121484,0.92799747,-0.73112476,0.29507306,-0.28351817,0.53121585,blues
0.3636372,0.17557041,1552.8118647610036,1747.7023116676025,3042.2602323810906,0.07629120746326373,-90.722595,140.4463,-29.09389,31.684334,-13.984504,25.764742,-13.664875,11.639934,-11.783642,9.7187605,-13.133803,5.791199,-8.907628,-1.0770003,-9.229274,2.4516892,-7.7290936,-1.8164068,-3.4397204,-2.2312589,blues
0.4047847,0.141093,1070.1066149971293,1596.412872177028,2184.7457991951856,0.03330886262567672,-199.5442,150.0909,5.6626782,26.85908,1.771399,14.234031,-4.8320065,9.286495,-0.7591865,8.137607,-3.200653,6.079319,-2.4801738,-1.0793046,-2.8707886,0.7808735,-3.3195965,0.63696533,-0.61912125,-3.407449,blues
0.30852604,0.09152871,1835.004265512071,1748.1721158264975,3579.757626703886,0.10146053871809745,-160.3377,126.219635,-35.58781,22.148071,-32.478603,10.852294,-23.352331,0.49843353,-11.793437,1.2072551,-13.088418,-2.813867,-6.9333854,-7.5527253,-9.164666,-4.520575,-5.454034,-0.9168737,-4.404826,-11.703234,blues
0.3024563,0.10349364,1831.993939606849,1729.6532869429993,3481.5175917198376,0.09404153373936582,-177.77425,118.20548,-17.56588,30.762402,-21.747839,11.920993,-20.730993,3.1865778,-8.586039,-0.93285215,-11.772434,-2.4058323,-9.343665,-9.93621,-3.9039948,-5.57659,-1.8382629,-2.7837996,-3.047909,-8.109991,blues
0.29132798,0.14187415,1459.366471695765,1389.0091311849505,2795.610963330191,0.07305223740815932,-190.05237,130.28908,-36.369534,33.029034,11.108782,-0.60558355,-20.871857,0.27302477,-6.4861403,-5.5167675,-7.8397517,-3.1285918,-6.596197,-9.950378,-6.535177,-10.068052,-10.913176,-6.971336,-3.4365046,-6.4834657,blues
0.3079548,0.13182218,1451.6670658428172,1577.2709414206151,2954.836759987674,0.061442246108855375,-179.34714,136.46901,-26.673138,39.98424,5.304416,10.928612,-20.564827,8.511157,-11.357249,-3.4683466,-8.419937,-6.9497156,-3.5391388,-8.041617,-8.960675,-8.426083,-10.568935,-10.784514,-4.690677,-8.630722,blues
0.40887922,0.14241649,1719.3689480431462,2031.740381002539,3782.316288428074,0.06402488761600927,-121.363945,122.50667,-14.738196,46.131065,-8.181879,20.182962,-19.173378,23.039139,-11.838223,21.16,-6.718366,6.9925423,-12.730596,5.0613246,-5.183214,-1.4525596,-7.0418243,2.6952481,3.4123054,-2.7156928,blues
0.2739504,0.08131366,1817.15086312572,1973.7733063015248,3943.490565182715,0.07917482356921887,-213.23999,115.1656,-11.693431,39.014275,-20.341278,13.077605,-9.173518,9.011447,-14.100634,4.2659416,-6.0461674,3.782207,0.2217994,-5.1093993,-0.41023037,-1.1799208,-1.9168046,-2.2926607,2.881967,-4.2352037,blues
